Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 131.0.0.0,Login Test,,03-12-2024 09:01:28,03-12-2024 09:02:06,37.929s,PASSED
,,,,,,,
Test Cases/Admin/Login/TCC.Hadir.01.001,Chrome 131.0.0.0,Login Valid,Login,03-12-2024 09:01:28,03-12-2024 09:01:33,5.205s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,03-12-2024 09:01:28,03-12-2024 09:01:30,1.602s,PASSED
maximizeWindow(),Chrome 131.0.0.0,,,03-12-2024 09:01:30,03-12-2024 09:01:30,0.044s,PASSED
"navigateToUrl(""https://magang.dikahadir.com/authentication/login"")",Chrome 131.0.0.0,,,03-12-2024 09:01:30,03-12-2024 09:01:30,0.455s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Login/Login_Page/input_Email_email""), 10, STOP_ON_FAILURE)",Chrome 131.0.0.0,,,03-12-2024 09:01:30,03-12-2024 09:01:31,0.410s,PASSED
"setText(findTestObject(""Object Repository/Login/Login_Page/input_Email_email""), ""Admin@hadir.com"")",Chrome 131.0.0.0,,,03-12-2024 09:01:31,03-12-2024 09:01:31,0.540s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/Login_Page/input_Password_password""), ""aSC42nPN26UggVXAwmiGmQ=="")",Chrome 131.0.0.0,,,03-12-2024 09:01:31,03-12-2024 09:01:32,0.295s,PASSED
"click(findTestObject(""Object Repository/Login/Login_Page/button_Masuk""))",Chrome 131.0.0.0,,,03-12-2024 09:01:32,03-12-2024 09:01:32,0.298s,PASSED
waitForPageLoad(10),Chrome 131.0.0.0,,,03-12-2024 09:01:32,03-12-2024 09:01:32,0.104s,PASSED
"loginSuccess = verifyElementPresent(findTestObject(""Object Repository/Login/Login_Page/p_2022 Aplikasi Hadir""), 10, CONTINUE_ON_FAILURE)",Chrome 131.0.0.0,,,03-12-2024 09:01:32,03-12-2024 09:01:33,1.159s,PASSED
if (loginSuccess),Chrome 131.0.0.0,,,03-12-2024 09:01:33,03-12-2024 09:01:33,0.020s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,03-12-2024 09:01:33,03-12-2024 09:01:33,0.095s,PASSED
,,,,,,,
Test Cases/Admin/Login/TCC.Hadir.01.002,Chrome 131.0.0.0,Login dengan email yang tidak terdaftar,Login,03-12-2024 09:01:33,03-12-2024 09:01:36,2.786s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,03-12-2024 09:01:33,03-12-2024 09:01:34,0.657s,PASSED
maximizeWindow(),Chrome 131.0.0.0,,,03-12-2024 09:01:34,03-12-2024 09:01:34,0.041s,PASSED
"navigateToUrl(""https://magang.dikahadir.com/authentication/login"")",Chrome 131.0.0.0,,,03-12-2024 09:01:34,03-12-2024 09:01:35,0.381s,PASSED
