Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 131.0.0.0,Login Test,,03-12-2024 16:46:06,03-12-2024 16:46:44,38.329s,PASSED
,,,,,,,
Test Cases/Admin/Login/TCC.Hadir.01.001,Chrome 131.0.0.0,Login Valid,Login,03-12-2024 16:46:06,03-12-2024 16:46:11,5.415s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,03-12-2024 16:46:06,03-12-2024 16:46:07,1.490s,PASSED
maximizeWindow(),Chrome 131.0.0.0,,,03-12-2024 16:46:07,03-12-2024 16:46:07,0.053s,PASSED
"navigateToUrl(""https://magang.dikahadir.com/authentication/login"")",Chrome 131.0.0.0,,,03-12-2024 16:46:07,03-12-2024 16:46:08,0.873s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Login/Login_Page/input_Email_email""), 10, STOP_ON_FAILURE)",Chrome 131.0.0.0,,,03-12-2024 16:46:08,03-12-2024 16:46:09,0.413s,PASSED
"setText(findTestObject(""Object Repository/Login/Login_Page/input_Email_email""), ""Admin@hadir.com"")",Chrome 131.0.0.0,,,03-12-2024 16:46:09,03-12-2024 16:46:09,0.559s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/Login_Page/input_Password_password""), ""aSC42nPN26UggVXAwmiGmQ=="")",Chrome 131.0.0.0,,,03-12-2024 16:46:09,03-12-2024 16:46:10,0.303s,PASSED
"click(findTestObject(""Object Repository/Login/Login_Page/button_Masuk""))",Chrome 131.0.0.0,,,03-12-2024 16:46:10,03-12-2024 16:46:10,0.300s,PASSED
waitForPageLoad(10),Chrome 131.0.0.0,,,03-12-2024 16:46:10,03-12-2024 16:46:10,0.107s,PASSED
"loginSuccess = verifyElementPresent(findTestObject(""Object Repository/Login/Login_Page/p_2022 Aplikasi Hadir""), 10, CONTINUE_ON_FAILURE)",Chrome 131.0.0.0,,,03-12-2024 16:46:10,03-12-2024 16:46:11,1.033s,PASSED
if (loginSuccess),Chrome 131.0.0.0,,,03-12-2024 16:46:11,03-12-2024 16:46:11,0.013s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,03-12-2024 16:46:11,03-12-2024 16:46:11,0.110s,PASSED
,,,,,,,
Test Cases/Admin/Login/TCC.Hadir.01.002,Chrome 131.0.0.0,Login dengan email yang tidak terdaftar,Login,03-12-2024 16:46:11,03-12-2024 16:46:14,2.865s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,03-12-2024 16:46:11,03-12-2024 16:46:12,0.745s,PASSED
maximizeWindow(),Chrome 131.0.0.0,,,03-12-2024 16:46:12,03-12-2024 16:46:12,0.040s,PASSED
"navigateToUrl(""https://magang.dikahadir.com/authentication/login"")",Chrome 131.0.0.0,,,03-12-2024 16:46:12,03-12-2024 16:46:12,0.338s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Login/Login_Page/input_Email_email""), 10, STOP_ON_FAILURE)",Chrome 131.0.0.0,,,03-12-2024 16:46:12,03-12-2024 16:46:13,0.459s,PASSED
"setText(findTestObject(""Object Repository/Login/Login_Page/input_Email_email""), ""Irga@hadir.com"")",Chrome 131.0.0.0,,,03-12-2024 16:46:13,03-12-2024 16:46:13,0.528s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/Login_Page/input_Password_password""), ""aSC42nPN26UggVXAwmiGmQ=="")",Chrome 131.0.0.0,,,03-12-2024 16:46:13,03-12-2024 16:46:14,0.277s,PASSED
"click(findTestObject(""Object Repository/Login/Login_Page/button_Masuk""))",Chrome 131.0.0.0,,,03-12-2024 16:46:14,03-12-2024 16:46:14,0.274s,PASSED
"errorMessageObject = findTestObject(""Object Repository/Login/Login_Page/div_ErrorMessage"")",Chrome 131.0.0.0,,,03-12-2024 16:46:14,03-12-2024 16:46:14,0.014s,PASSED
if (errorMessageObject != null),Chrome 131.0.0.0,,,03-12-2024 16:46:14,03-12-2024 16:46:14,0.000s,PASSED
else,Chrome 131.0.0.0,,,03-12-2024 16:46:14,03-12-2024 16:46:14,0.002s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,03-12-2024 16:46:14,03-12-2024 16:46:14,0.104s,PASSED
,,,,,,,
Test Cases/Admin/Login/TCC.Hadir.01.003,Chrome 131.0.0.0,Login dengan email yang belum di aktivasi,Login,03-12-2024 16:46:14,03-12-2024 16:46:17,2.775s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,03-12-2024 16:46:14,03-12-2024 16:46:15,0.657s,PASSED
maximizeWindow(),Chrome 131.0.0.0,,,03-12-2024 16:46:15,03-12-2024 16:46:15,0.043s,PASSED
"navigateToUrl(""https://magang.dikahadir.com/authentication/login"")",Chrome 131.0.0.0,,,03-12-2024 16:46:15,03-12-2024 16:46:15,0.350s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Login/Login_Page/input_Email_email""), 10, STOP_ON_FAILURE)",Chrome 131.0.0.0,,,03-12-2024 16:46:15,03-12-2024 16:46:16,0.465s,PASSED
"setText(findTestObject(""Object Repository/Login/Login_Page/input_Email_email""), ""Irga@hadir.com"")",Chrome 131.0.0.0,,,03-12-2024 16:46:16,03-12-2024 16:46:16,0.532s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/Login_Page/input_Password_password""), ""aSC42nPN26UggVXAwmiGmQ=="")",Chrome 131.0.0.0,,,03-12-2024 16:46:16,03-12-2024 16:46:16,0.288s,PASSED
"click(findTestObject(""Object Repository/Login/Login_Page/button_Masuk""))",Chrome 131.0.0.0,,,03-12-2024 16:46:16,03-12-2024 16:46:17,0.272s,PASSED
"errorMessageObject = findTestObject(""Object Repository/Login/Login_Page/div_ErrorMessage"")",Chrome 131.0.0.0,,,03-12-2024 16:46:17,03-12-2024 16:46:17,0.002s,PASSED
